End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0.21446637183740785,0.24231994114396954,0.4428591173387336,0.10035456967988891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0.13136519731489896,0.14186441760868546,0.22651684418423834,0,0,0,0,0,0.2931337069529388,0.20711983393923858,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,4,0,0,0.4509794827421028,0.12475011503836908,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22078785717079452,0.1995260841875673,0,0,0,0,0.0039564608611663684,0,0
heating,5,0,0.006304678662481844,0,0,0,0,0,0,0,0.20959355653026168,0.169043136598747,0,0.22697278338310006,0.19764617155122208,0.18958277292985948,0.00085690034432789,0,0,0,0,0,0,0,0,0,0
heating,6,0,0,0,0,0,0.06777183294500708,0,0,0,0,0.04601820163755248,0,0,0,0.14347328890534936,0.7427366765120911,0,0,0,0,0,0,0,0,0,0
heating,7,0.41203401055649863,0,0,0,0,0.16329130961587818,0,0,0,0,0,0,0,0,0,0,0.4102385588100572,0,0,0.014436121017565947,0,0,0,0,0,0
heating,8,0,0,0.0017634609938005478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007505402422951117,0,0.004390836270468159,0.11811053106297748,0,0,0.11971457555470816,0.4170014599287807,0.3315137337663139,0
heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004706736596648852,0.3738573515423003,0.18151847113886246,0.4441535036591724,0,0,0
cooling,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,2,0,0,0,0,0,0,0,0.21446637183740785,0.24231994114396954,0.4428591173387336,0.10035456967988891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,3,0,0,0.13136519731489896,0.14186441760868546,0.22651684418423834,0,0,0,0,0,0.2931337069529388,0.20711983393923858,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,4,0,0,0.4509794827421028,0.12475011503836908,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22078785717079452,0.1995260841875673,0,0,0,0,0.0039564608611663684,0,0
cooling,5,0,0.006304678662481844,0,0,0,0,0,0,0,0.20959355653026168,0.169043136598747,0,0.22697278338310006,0.19764617155122208,0.18958277292985948,0.00085690034432789,0,0,0,0,0,0,0,0,0,0
cooling,6,0,0,0,0,0,0.06777183294500708,0,0,0,0,0.04601820163755248,0,0,0,0.14347328890534936,0.7427366765120911,0,0,0,0,0,0,0,0,0,0
cooling,7,0.41203401055649863,0,0,0,0,0.16329130961587818,0,0,0,0,0,0,0,0,0,0,0.4102385588100572,0,0,0.014436121017565947,0,0,0,0,0,0
cooling,8,0,0,0.0017634609938005478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007505402422951117,0,0.004390836270468159,0.11811053106297748,0,0,0.11971457555470816,0.4170014599287807,0.3315137337663139,0
cooling,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004706736596648852,0.3738573515423003,0.18151847113886246,0.4441535036591724,0,0,0
water heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0.2586263775963094,0.19215387781406038,0.46160218869488573,0.08761755589474446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0.13172207603194294,0.1439346457404632,0.21525578929311473,0,0,0,0,0,0.29503206408256144,0.2140554248519177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,4,0,0,0.44114329792013107,0.1349653907700691,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23334694582659343,0.18618694099369432,0,0,0,0,0.004357424489512078,0,0
water heating,5,0,0.08722112990985047,0,0,0,0,0,0,0,0.14622202134911924,0.10312581857848524,0,0.20640466130300283,0.20799692137486694,0.24769486436953092,0.0013345831151444592,0,0,0,0,0,0,0,0,0,0
water heating,6,0,0,0,0,0,0.09998067000849867,0,0,0,0,0.030434396473803554,0,0,0,0.23080511000514198,0.6387798235125558,0,0,0,0,0,0,0,0,0,0
water heating,7,0.5320849062305324,0,0,0,0,0.17289210414458875,0,0,0,0,0,0,0,0,0,0,0.2641619930099631,0,0,0.03086099661491582,0,0,0,0,0,0
water heating,8,0,0,0.0005013882012595271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007762664992784943,0,0.0016704723014066584,0.22439755380971815,0,0,0.06032874246477835,0.35597440406989134,0.34936477416016093,0
water heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018988157270783809,0.3692561579513687,0.4755158534327119,0.1533291728888411,0,0,0
cooking,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooking,2,0,0,0,0,0,0,0,0.31310509047562,0.16759870783524822,0.44942937607240335,0.06986682561672836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooking,3,0,0,0.11421355031814291,0.16040471184666477,0.20737789893283567,0,0,0,0,0,0.2749380744125381,0.24306576448981854,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooking,4,0,0,0.47487404483526147,0.14063288590800327,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22061088133029716,0.1602275545020339,0,0,0,0,0.0036546334244043155,0,0
cooking,5,0,0.17514896624496362,0,0,0,0,0,0,0,0.12633733786742715,0.08721150079574033,0,0.16337204094243837,0.19774007016018252,0.24892321342236698,0.0012668705668810237,0,0,0,0,0,0,0,0,0,0
cooking,6,0,0,0,0,0,0.07590308158818601,0,0,0,0,0.03131951220720815,0,0,0,0.23663695810620472,0.656140448098401,0,0,0,0,0,0,0,0,0,0
cooking,7,0.5706109537604845,0,0,0,0,0.17935983337125633,0,0,0,0,0,0,0,0,0,0,0.21824646500309042,0,0,0.031782747865168715,0,0,0,0,0,0
cooking,8,0,0,0.00044191563182127035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011229472265375559,0,0.0010519043953957333,0.36093498283721226,0,0,0.04817655355000809,0.22334551421939433,0.35481965710079266,0
cooking,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024649898094837117,0.3427660655515779,0.49376675251834307,0.16100219212059522,0,0,0
drying,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drying,2,0,0,0,0,0,0,0,0.17699916509391228,0.18399197918400914,0.5574982567132095,0.08151059900886909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drying,3,0,0,0.09870394364928696,0.16564616658984446,0.27326647866702175,0,0,0,0,0,0.19360887108209146,0.2687745400117553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drying,4,0,0,0.6527569927695884,0.12349403955248492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14820169841230252,0.07455036831034512,0,0,0,0,0.0009969009552789766,0,0
drying,5,0,0.15037036459209746,0,0,0,0,0,0,0,0.15960067264049282,0.0980169586531143,0,0.15347815088498581,0.17711049869673118,0.2604402474372018,0.000983107095376544,0,0,0,0,0,0,0,0,0,0
drying,6,0,0,0,0,0,0.11885685057950489,0,0,0,0,0.03885831196769472,0,0,0,0.22790262856455143,0.6143822088882489,0,0,0,0,0,0,0,0,0,0
drying,7,0.5866917448479282,0,0,0,0,0.18639352817525287,0,0,0,0,0,0,0,0,0,0,0.19672064358263233,0,0,0.030194083394186524,0,0,0,0,0,0
drying,8,0,0,0.00025267536700463534,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007967244247732052,0,0.0003830594531814044,0.3653991535089096,0,0,0.026427505467139612,0.10921682244090782,0.4903535395151249,0
drying,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031315356660041225,0.3815993619883792,0.5354966954573761,0.07977240688824053,0,0,0
misc,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,2,0,0,0,0,0,0,0,0.10815045813882929,0.21659041348158117,0.5774685977034576,0.09779053067613194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,3,0,0,0.10129166245162112,0.17316065561728367,0.18508043632174226,0,0,0,0,0,0.31929426032908087,0.2211729852802721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,4,0,0,0.33301766983611114,0.1855344228756304,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3436960169671417,0.13775189032111668,0,0,0,0,0.0,0,0
misc,5,0,0.3770946914213496,0,0,0,0,0,0,0,0.06784823567360623,0.06457583721557408,0,0.09799364387734058,0.1345812203543988,0.2550666969842789,0.002839674473451819,0,0,0,0,0,0,0,0,0,0
misc,6,0,0,0,0,0,0.07662679107412852,0,0,0,0,0.01603812383816661,0,0,0,0.24738605246589088,0.659949032621814,0,0,0,0,0,0,0,0,0,0
misc,7,0.6575667444764804,0,0,0,0,0.14836631967620692,0,0,0,0,0,0,0,0,0,0,0.17810372507032754,0,0,0.015963210776984985,0,0,0,0,0,0
misc,8,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009013572196821784,0,0.0,0.6655531803925324,0,0,0.01396640705193904,0.044374095298997496,0.2670927450597093,0
misc,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00170778201105953,0.3781721653885022,0.5236528749012604,0.09646717769917788,0,0,0
