End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,2,0,0,0,0,0,0,0,0.2596143559917387,0.1630327374583344,0.49298425884844693,0.08436864770148002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,3,0,0,0.11769321298810191,0.14537008751609357,0.18364347228543573,0,0,0,0,0,0.3216654857794462,0.23162774143092243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heating,4,0,0,0.388528345207196,0.15263655886842517,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3171310911936109,0.1411212393549097,0,0,0,0,0.0005827653758581992,0,0
heating,5,0,0.14159650453731343,0,0,0,0,0,0,0,0.11561950286074037,0.08353662408317404,0,0.1719697945952497,0.24024253985625968,0.2462132780540636,0.0008217560131991576,0,0,0,0,0,0,0,0,0,0
heating,6,0,0,0,0,0,0.08991426781555958,0,0,0,0,0.017930229237195033,0,0,0,0.21811534196708895,0.6740401609801565,0,0,0,0,0,0,0,0,0,0
heating,7,0.6191379158134541,0,0,0,0,0.14790830614093248,0,0,0,0,0,0,0,0,0,0,0.20059171330694678,0,0,0.032362064738666534,0,0,0,0,0,0
heating,8,0,0,0.00010320227913440216,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006804368598955231,0,0.001233856614808684,0.27718594914428824,0,0,0.03481639681487945,0.2911351572953489,0.3887210692525851,0
heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010373277620539505,0.29441004490501643,0.48310259801158084,0.19029825843997694,0,0,0.031151770881371964
cooling,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,2,0,0,0,0,0,0,0,0.2270506354658935,0.16908699235052668,0.5180845206080309,0.08577785157554892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,3,0,0,0.11727054386190196,0.14594027816408622,0.18398822862253844,0,0,0,0,0,0.3215219642739372,0.23127898507753608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,4,0,0,0.39126356855637495,0.15101791882323304,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32016036388768854,0.13696339844772407,0,0,0,0,0.0005947502849794455,0,0
cooling,5,0,0.13050410264306955,0,0,0,0,0,0,0,0.11660200635996305,0.08507270703854047,0,0.16381334775309953,0.2463506371354501,0.2567687549748536,0.0008884440950236071,0,0,0,0,0,0,0,0,0,0
cooling,6,0,0,0,0,0,0.09095448170281815,0,0,0,0,0.016433088879294115,0,0,0,0.2193562088036719,0.6732562206142158,0,0,0,0,0,0,0,0,0,0
cooling,7,0.6203475022216187,0,0,0,0,0.14756291543531663,0,0,0,0,0,0,0,0,0,0,0.1999683686049198,0,0,0.0321212137381448,0,0,0,0,0,0
cooling,8,0,0,0.00011273935729374047,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007062278730362794,0,0.0010221282642712383,0.27861206566588237,0,0,0.035338986883607995,0.29814478411755885,0.37970701698102277,0
cooling,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010805836932455824,0.2934783249170646,0.49228483357611447,0.18260895729135415,0,0,0.030547300522221207
water heating,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0.3202499011484737,0.14840161635561386,0.44536554847799986,0.0859829340179127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0.11923395984934852,0.14585278588963646,0.18613576693059727,0,0,0,0,0,0.30347891687038875,0.24529857046002895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,4,0,0,0.38860694878931407,0.1635551505325935,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2739898479413834,0.17314829856363795,0,0,0,0,0.0006997541730710009,0,0
water heating,5,0,0.2766069475618903,0,0,0,0,0,0,0,0.0909970656925205,0.0723348754681177,0,0.173954603273818,0.20279296588709245,0.18171705531031151,0.0015964868062496372,0,0,0,0,0,0,0,0,0,0
water heating,6,0,0,0,0,0,0.10071754510597439,0,0,0,0,0.017041700634497232,0,0,0,0.25383433832468394,0.6284064159348445,0,0,0,0,0,0,0,0,0,0
water heating,7,0.6246481668522954,0,0,0,0,0.16718308893043293,0,0,0,0,0,0,0,0,0,0,0.18380578002085043,0,0,0.02436296419642121,0,0,0,0,0,0
water heating,8,0,0,7.644160385404044e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007991990295351234,0,0.001984996809342149,0.3036808120281861,0,0,0.0386442304021127,0.27172472781934154,0.37589680104181233,0
water heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012953789648624157,0.30458581413223085,0.4764306051997267,0.160982282841293,0,0,0.05670591886188709
misc,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,2,0,0,0,0,0,0,0,0.2968607867740936,0.17034795260142604,0.4517054059210644,0.08108585470341606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,3,0,0,0.13545907037177446,0.1537674916142867,0.1843325312348702,0,0,0,0,0,0.3238531034469233,0.20258780333214524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misc,4,0,0,0.3476343578504271,0.16302956969977347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28597787372719874,0.20241673075584435,0,0,0,0,0.0009414679667563752,0,0
misc,5,0,0.37822466509775565,0,0,0,0,0,0,0,0.06634415023566834,0.05895157351753125,0,0.1327909285252795,0.2118676306208567,0.14957468905173346,0.002246362951175067,0,0,0,0,0,0,0,0,0,0
misc,6,0,0,0,0,0,0.09679844382612264,0,0,0,0,0.023393530161105208,0,0,0,0.2649708995412773,0.6148371264714947,0,0,0,0,0,0,0,0,0,0
misc,7,0.6112037502518748,0,0,0,0,0.185071550554526,0,0,0,0,0,0,0,0,0,0,0.18085834164108325,0,0,0.022866357552515933,0,0,0,0,0,0
misc,8,0,0,9.275949148123715e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010080691058660902,0,0.0023545971609394245,0.3292922314836332,0,0,0.03879258885124218,0.24806791291295904,0.37131921904108395,0
misc,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015891504530594356,0.24427453174876468,0.4010234736232569,0.2546004032494261,0,0,0.09851244092549277
